name,sections,max enrolment,bold info,req,year,term
En 130,1,,,advanced hum,7,SP
En 141,1,,,advanced hum,7,SP
H  107,1,25,Maximum Enrollment: 25 students,advanced hum,7,SP
H  118,1,,,advanced hum,7,SP
H  126,1,20,Class Closed - Max Enrollment reached,advanced hum,7,SP
H  128,1,,,advanced hum,7,SP
H  130,1,,,advanced hum,7,SP
H  135,1,25,Maximum Enrollment: 25 students,advanced hum,7,SP
H  138,1,20,Maximum enrollment: 20 students,advanced hum,7,SP
H  139,1,,,advanced hum,7,SP
H  141,1,15,Maximum Enrollment: 15 students,advanced hum,7,SP
Law/PS/H 148B,1,30,Maximum enrollment: 30 students,advanced hum,7,SP
HPS/H 170,1,,,advanced hum,7,SP
HPS/Pl 122,1,,,advanced hum,7,SP
HPS/Pl 124,1,,,advanced hum,7,SP
HPS/Pl 128,1,,,advanced hum,7,SP
HPS/Pl 133,1,20,Maximum Enrollment: 20 students,advanced hum,7,SP
Hum/H 003B,1,17,Attendance at the first class is required. //Maximum enrollment: 17 students,frosh hum,7,SP
Hum/H 003C,1,17,Attendance at the first class is required. // Maximum enrollment: 17 students,frosh hum,7,SP
Hum/H 004C,1,17,Attendance at the first class is required. //Maximum enrollment: 17 students,frosh hum,7,SP
Hum/En 005,1,17,Attendance at the first class is required. // Maximum enrollment: 17 students,frosh hum,7,SP
Hum/En 006,2,34,"Attendance at the first class is required. // Maximum enrolled: 17 students per section //Section 1 has mandatory film screenings on Thursdays at 7pm during weeks 6, 8 and 9.",frosh hum,7,SP
En 121,1,15,Maximum Enrollment: 15 students,advanced hum,8,FA
En 134,1,,,advanced hum,8,FA
En 148,1,,,advanced hum,8,FA
En 181D,1,15,Maximum Enrollment: 15 students,advanced hum,8,FA
H  115B,1,15,Maximum Enrollment: 15 students,advanced hum,8,FA
Art/H 155,1,18,Maximum Enrollment: 18 students,advanced hum,8,FA
HPS/Pl 120,1,,,advanced hum,8,FA
HPS/Pl 130,1,,,advanced hum,8,FA
Hum/H 002,2,30,Maximum Enrollment: 15 students per section//Class closed to continuing students until term start.,frosh hum,8,FA
Hum/H 003A,1,15,Maximum Enrollment: 15 students//Class closed to continuing students until term start.,frosh hum,8,FA
Hum/H 003B,3,45,Maximum enrollment: 15 students//Class closed to continuing students until term start.,frosh hum,8,FA
Hum/En 005,3,45,Maximum enrollment: 15 students//Class closed to continuing students until term start.,frosh hum,8,FA
Hum/En 007,1,15,Maximum Enrollment: 15 students//Class closed to continuing students until term start.,frosh hum,8,FA
Hum/Pl 008,2,30,Maximum Enrolled: 15 students per section//Class closed to continuin students until term start.,frosh hum,8,FA
Hum/Pl 009,1,15,Maximum enrollment: 15 students//Class closed to continuing students until term start.,frosh hum,8,FA
Hum/H/HPS 011,1,25,Maximum Enrollment: 25 students //Class closed to continuing students until term start.,frosh hum,8,FA
En 114A,1,15,Maximum Enrollment: 15 students,advanced hum,8,WI
En 126,1,25,Open by lottery only; See the Regis home page for info//Maximum enrollment: 25 students//Attendance at the first class meeting is required//English majors will be given priority,advanced hum,8,WI
En 150,1,20,Maximum enrollment: 20 students,advanced hum,8,WI
En 180,1,,,advanced hum,8,WI
H  108A,1,20,Maximum enrollment: 20 students,advanced hum,8,WI
H/F 134,1,20,Open by lottery only; See the Regis home page for info//Maximum enrollment: 20 students//Attendance at the first class meeting is required,advanced hum,8,WI
H/L 142,1,20,Maximum enrollment: 20 students,advanced hum,8,WI
H  143,1,15,Maximum enrollment: 15 students,advanced hum,8,WI
Law/PS/H 148A,1,30,Maximum enrollment: 30 students,advanced hum,8,WI
H  161,1,20,Maximum enrollment: 20 students,advanced hum,8,WI
HPS/H 170,1,15,Maximum enrollment: 15 students,advanced hum,8,WI
H/HPS 176,1,,,advanced hum,8,WI
HPS/H 178,1,30,Maximum enrollment: 30 students,advanced hum,8,WI
HPS/Pl 125,1,15,Maximum enrollment: 15 students,advanced hum,8,WI
HPS/Pl 130,1,,,advanced hum,8,WI
HPS/Pl 134,1,,,advanced hum,8,WI
Hum/H 003B,1,15,Attendance at the first class meeting is required. // Maximum Enrollment: 15 students,frosh hum,8,WI
Hum/H 003C,3,45,Attendance at the first class meeting is required. // Maximum Enrollment: 15 students per section,frosh hum,8,WI
Hum/H 004B,1,15,Attendance at the first class meeting is required.//Maximum enrollment: 15 students,frosh hum,8,WI
Hum/En 005,3,45,Attendance at the first class meeting is required. // Maximum enrollment: 15 students per section.,frosh hum,8,WI
Hum/En 006,2,30,Attendance at the first class meeting is required. // Maximum enrollment: 15 students per section,frosh hum,8,WI
Hum/En 007,1,15,Attendance at the first class meeting is required.// Maximum enrollment: 15 students,frosh hum,8,WI
Hum/Pl 008,3,45,Attendance at the first class meeting is required  // Maximum enrollment: 15 students per section,frosh hum,8,WI
Hum/H/HPS 010,2,30,Attendance at the first class meeting is required. // Maximum enrollment: 15 students per section,frosh hum,8,WI
En 119,1,15,Maximum enrollment: 15 students,advanced hum,8,SP
En 125A,1,20,Maximum enrollment: 20 students,advanced hum,8,SP
En 133,1,20,Maximum enrollment: 20 students,advanced hum,8,SP
En 171,1,25,Maximum enrollment: 25 students,advanced hum,8,SP
H  108B,1,25,Maximum enrollment: 25 students,advanced hum,8,SP
H  116,1,,,advanced hum,8,SP
H  121,1,,,advanced hum,8,SP
Law/PS/H 148B,1,30,Maximum enrollment: 30 students,advanced hum,8,SP
HPS/H 162,1,20,Maximum enrollment: 20 students,advanced hum,8,SP
HPS/H 166,1,20,Maximum enrollment: 20 students,advanced hum,8,SP
HPS/H 167,1,20,Maximum enrollment: 20 students,advanced hum,8,SP
HPS/H 169,1,20,The Darwin Bicentennial//Maximum enrollment: 20 students,advanced hum,8,SP
HPS/H 174,1,17,Maximum enrollment: 17 students,advanced hum,8,SP
H/HPS 177,1,15,Maximum enrollment: 15 students,advanced hum,8,SP
HPS/Pl 133,1,20,Maximum Enrollment: 20 students,advanced hum,8,SP
HPS/Pl 134,1,15,Maximum enrollment: 15 students,advanced hum,8,SP
HPS/Pl 136,1,,Units = 3-0-6,advanced hum,8,SP
HPS/Pl 137,1,15,Maximum enrollment: 15 students,advanced hum,8,SP
Hum/H 003B,1,17,Attendance at the first class is required. //Maximum enrollment: 17 students,frosh hum,8,SP
Hum/H 003C,1,17,Attendance at the first class is required. // Maximum enrollment: 17 students,frosh hum,8,SP
Hum/H 004C,1,17,Attendance at the first class is required. //Maximum enrollment: 17 students,frosh hum,8,SP
Hum/En 007,1,17,Attendance at first class is required.//Maximum enrollment: 17 students,frosh hum,8,SP
Hum/Pl 009,1,17,Attendance at the first class is required.//Maximum enrollment: 17 students,frosh hum,8,SP
Hum119,1,,Introduction to Linguistics,advanced hum,8,SP
Pl 103,1,,,advanced hum,8,SP
Pl 187,1,,,advanced hum,8,SP
En 113B,1,5,Open by lottery only//See REGIS home page for info,advanced hum,9,FA
En 122,1,15,Maximum enrollment: 15 students,advanced hum,9,FA
En 130,1,20,Maximum enrollment: 20 students,advanced hum,9,FA
En 138,1,20,Open by lottery only//See REGIS home page for info//Maximum enrollment: 20 students,advanced hum,9,FA
H/F 131,1,20,Maximum enrollment: 20 students,advanced hum,9,FA
H/L 142,1,15,Maximum enrollment: 15 students,advanced hum,9,FA
HPS/H 166,1,20,Maximum enrollment: 20 students,advanced hum,9,FA
HPS/Pl 130,1,20,Maximum enrollment: 20 students,advanced hum,9,FA
Pl/HPS 157,1,20,Maximum enrollment: 20 students,advanced hum,9,FA
Hum/H 003A,1,15,Maximum Enrollment: 15 students//Class closed to continuing students until term start.,frosh hum,9,FA
Hum/H 003B,2,30,Maximum enrollment: 15 students//Class closed to continuing students until term start.,frosh hum,9,FA
Hum/H 003C,2,30,Maximum Enrollment: 15 students//Class closed to continuing students until term start.,frosh hum,9,FA
Hum/En 005,1,15,Maximum enrollment: 15 students//Class closed to continuing students until term start.,frosh hum,9,FA
Hum/En 006,1,15,Maximum Enrollment: 15 students // Class closed to continuing students until term start.,frosh hum,9,FA
Hum/En 007,3,45,Maximum Enrollment: 15 students per section//Class closed to continuing students until term start.,frosh hum,9,FA
Hum/Pl 008,1,15,Maximum Enrolled: 15 students//Class closed to continuing students until term start.,frosh hum,9,FA
Hum/Pl 009,2,30,Maximum enrollment: 15 students per section//Class closed to continuing students until term start.,frosh hum,9,FA
Hum/H/HPS 010,1,15,Maximum Enrollment: 15 students//Class closed to continuing students until term start.,frosh hum,9,FA
Hum/H/HPS 011,1,25,Maximum Enrollment: 25 students //Class closed to continuing students until term start.,frosh hum,9,FA
Mu 137,1,,,advanced hum,9,FA
En 114A,1,20,Maximum Enrollment: 20 students,advanced hum,9,WI
En 123,1,20,Maximum Enrollment: 20 students,advanced hum,9,WI
En 129,1,25,Maximum Enrollment: 25 students,advanced hum,9,WI
En 180,1,20,Maximum Enrollment: 20 students,advanced hum,9,WI
H  109,1,25,"Maximum Enrollment: 25 students // Open by lottery only, see REGIS Home page for details",advanced hum,9,WI
H  116,1,,,advanced hum,9,WI
H  122,1,,,advanced hum,9,WI
H  130,1,25,Maximum Enrollment: 25 students,advanced hum,9,WI
Law/PS/H 148A,1,30,Maximum enrollment: 30 students,advanced hum,9,WI
HPS/H 158,1,,,advanced hum,9,WI
HPS/H 171,1,15,Maximum Enrollment: 15 students,advanced hum,9,WI
HPS/H 179,1,15,Maximum Enrollment: 15 students,advanced hum,9,WI
HPS/H 181,1,20,Maximum Enrollment: 20 students,advanced hum,9,WI
HPS105,1,15,Maximum Enrollment: 15 students,advanced hum,9,WI
HPS/Pl 120,1,,,advanced hum,9,WI
HPS/Pl 124,1,,,advanced hum,9,WI
Pl/HPS 183,1,20,"Maximum Enrollment: 20 students// Open by lottery only, see REGIS home page for details",advanced hum,9,WI
Hum/H 003A,1,15,Attendance at the first class is required. // Maximum Enrollment: 15 students.,frosh hum,9,WI
Hum/H 003B,1,15,Attendance at the first class meeting is required. // Maximum Enrollment: 15 students,frosh hum,9,WI
Hum/H 003C,3,45,Attendance at the first class meeting is required. // Maximum Enrollment: 15 students per section,frosh hum,9,WI
Hum/H 004A,1,15,Attendance at the first class is required. // Maximum Enrollment: 15 students,frosh hum,9,WI
Hum/En 005,2,30,Attendance at the first class meeting is required. // Maximum enrollment: 15 students per section.,frosh hum,9,WI
Hum/En 006,1,15,Attendance at the first class meeting is required. // Maximum enrollment: 15 students,frosh hum,9,WI
Hum/En 007,2,30,Attendance at the first class meeting is required.// Maximum enrollment: 15 students per section,frosh hum,9,WI
Hum/Pl 008,6,90,Attendance at the first class meeting is required  // Maximum enrollment: 15 students per section,frosh hum,9,WI
Hum/Pl 009,1,15,Attendance at first class meeting is required.//Maximum Enrollment: 15 students,frosh hum,9,WI
Hum/H/HPS 010,1,15,Attendance at the first class meeting is required. // Maximum enrollment: 15 students,frosh hum,9,WI
Mu 138,1,,,advanced hum,9,WI
Pl 150,1,20,Maximum Enrollment: 20 students,advanced hum,9,WI
En 116,1,20,Maximum Enrollment: 20 students,advanced hum,9,SP
En 120,1,15,Open by lottery only: See the REGIS home page for info//Maximum  Enrollment: 15 students,advanced hum,9,SP
En 128,1,20,maximum enrollment: 20 students,advanced hum,9,SP
En 181E,1,,,advanced hum,9,SP
H  110,1,25,Maximum enrollment: 25 students/open for student enrollment,advanced hum,9,SP
H  112,1,25,"Open by lottery only, preference given to History majors//See REGIS  home page for info//Maximum enrollment: 25 students",advanced hum,9,SP
H  119,1,,,advanced hum,9,SP
H  135,1,,,advanced hum,9,SP
Law/PS/H 148B,1,30,Maximum enrollment: 30 students,advanced hum,9,SP
HPS/H 159,1,,,advanced hum,9,SP
HPS/H 168,1,,,advanced hum,9,SP
HPS/H 169,1,,Topic: The History of Evolution: Darwin & His Generation,advanced hum,9,SP
HPS/H 180,1,,,advanced hum,9,SP
HPS/H 182,1,,,advanced hum,9,SP
HPS/Pl 133,1,20,Maximum Enrollment: 20 Students,advanced hum,9,SP
HPS/Pl 136,1,,4 units (2-0-2) or 9 units (2-0-7),advanced hum,9,SP
Hum/H 003A,1,15,Attendance at the first class is required.//Maximum enrollment: 15  students,frosh hum,9,SP
Hum/H 003B,1,15,Attendance at the first class is required. //Maximum enrollment: 15  students,frosh hum,9,SP
Hum/H 004B,1,15,Attendance at the first class is required.//Maximum enrollment: 15  students,frosh hum,9,SP
Hum/En 006,2,30,Attendance at the first class is required.//Maximum enrollment: 15  students per section,frosh hum,9,SP
Hum/En 007,1,15,Attendance at first class is required.//Maximum enrollment: 15  students,frosh hum,9,SP
Hum/Pl 009,1,15,Attendance at the first class is required.//Maximum enrollment: 15  students,frosh hum,9,SP
Mu 139,1,,,advanced hum,9,SP
Pl 151,1,,,advanced hum,9,SP
Pl 187,1,,,advanced hum,9,SP
En 121,1,15,Maximum enrollment: 15 students,advanced hum,10,FA
En 183,1,20,Open by lottery only//See REGIS home page to enter//Maximum  Enrollment: 20 students,advanced hum,10,FA
H  108A,1,25,Maximum Enrollment: 25 students,advanced hum,10,FA
H  122,1,,,advanced hum,10,FA
HPS/H 166,1,,,advanced hum,10,FA
Hum/H 002,2,30,Maximum Enrollment: 15 students per section//Class closed to  continuing students until term start.,frosh hum,10,FA
Hum/H 003A,2,30,Maximum Enrollment: 15 students per section//Class closed to  continuing students until term start.//Sec 2 P/F only.,frosh hum,10,FA
Hum/H 003B,2,15,Maximum enrollment: 15 students//Class closed to continuing  students until term start.//Sec 2 P/F only,frosh hum,10,FA
Hum/En 005,1,15,Maximum enrollment: 15 students//Class closed to continuing  students until term start.,frosh hum,10,FA
Hum/En 006,2,30,Maximum Enrollment: 15 students per section// Class closed to  continuing students until term start.,frosh hum,10,FA
Hum/Pl 009,3,45,Maximum enrollment: 15 students per section//Class closed to  continuing students until term start.//Sec 3 P/F only.,frosh hum,10,FA
Hum/H/HPS 010,1,15,Maximum Enrollment: 15 students//Class closed to continuing  students until term start.,frosh hum,10,FA
Pl 150,1,,,advanced hum,10,FA
En 113A,1,20,Open by lottery only; See REGIS home page to enter lottery prior to Nov 17th // Maximum enrollment: 20 students,advanced hum,10,WI
En 125,1,20,Open by lottery only; See link on the REGIS home page to enter lottery prior to Nov 17th // Maximum enrollment: 20 students,advanced hum,10,WI
En/F 160A,1,20,Open by lottery only; See link on the REGIS home page to enter lottery prior to Nov 17th // Maximum enrollment: 20 students// Not open to students who previously took F 101 // There is a mandatory film screening after each class.,advanced hum,10,WI
En 182,1,20,Maximum enrollment: 20 students,advanced hum,10,WI
H  108B,1,25,Maximum enrollment: 25 students,advanced hum,10,WI
H  118,1,,,advanced hum,10,WI
H/F 131,1,20,Open by lottery only; See link on the REGIS home page to enter the lottery prior to Nov 17th // Maximum enrollment: 20 students,advanced hum,10,WI
H/L 142,1,15,Maximum enrollment: 15 students,advanced hum,10,WI
Law/PS/H 148A,1,30,Maximum enrollment: 30 students,advanced hum,10,WI
H  161,1,,First class meeting will be held January 10th,advanced hum,10,WI
HPS/H 170,1,,,advanced hum,10,WI
Art/H 183,1,15,Maximum enrollment: 15 students,advanced hum,10,WI
H/HPS 184,1,25,This course will focus on the plague in the Mediterranean. // Open by lottery only; See link on the REGIS home page to enter lottery prior to Nov 17//Maximum enrollment: 25 students,advanced hum,10,WI
HPS/H 186,1,,,advanced hum,10,WI
Hum/H 003A,2,30,Attendance at the first class is required. // Maximum Enrollment: 15 students per section.,frosh hum,10,WI
Hum/H 003B,3,45,Attendance at the first class meeting is required. // Maximum Enrollment: 15 students per section.Section 2 cancelled.,frosh hum,10,WI
Hum/H 003C,1,15,Attendance at the first class meeting is required. // Maximum Enrollment: 15 students.,frosh hum,10,WI
Hum/H 004C,1,15,Attendance at the first class if required. // Maximum enrollment: 15 students,frosh hum,10,WI
Hum/En 005,2,30,Attendance at the first class meeting is required. // Maximum enrollment: 15 students per section.,frosh hum,10,WI
Hum/En 006,1,15,Attendance at the first class meeting is required. // Maximum enrollment: 15 students,frosh hum,10,WI
Hum/En 007,1,15,Attendance at the first class meeting is required.// Maximum enrollment: 15 students,frosh hum,10,WI
Hum/Pl 008,4,60,Attendance at the first class meeting is required  // Maximum enrollment: 15 students per section,frosh hum,10,WI
Hum/Pl 009,2,30,Attendance at first class meeting is required.//Maximum Enrollment: 15 students per section,frosh hum,10,WI
Hum/H/HPS 010,1,15,Attendance at the first class meeting is required. // Maximum enrollment: 15 students,frosh hum,10,WI
Hum119,1,15,Hum119 this term only is considered a Freshman Hum within the History discipline.  Students will not receive Adv Hum credit for this course.//Attendance at the first class is required. // Maximum enrollment: 15 students,advanced hum,10,WI
Mu 140,1,20,Maximum enrollment: 20 students,advanced hum,10,WI
Pl 151,1,20,Maximum enrollment: 20 students,advanced hum,10,WI
En 123,1,20,Maximum enrollment: 20 students,advanced hum,10,SP
En 126,1,20,Open by lottery only; see REGIS home page for info // Maximum  enrollment: 20 students,advanced hum,10,SP
En 132,1,20,Maximum enrollment: 20 students,advanced hum,10,SP
En/F 160B,1,20,Maximum enrollment: 20 students // En/F 160a is not a prerequisite  to this course.,advanced hum,10,SP
En 180,1,10,"taught concurrently with H 161, section 3//Maximum enrollment: 10  students",advanced hum,10,SP
En 184,1,15,Maximum enrollment: 15 students,advanced hum,10,SP
H  110,1,15,Maximum enrollment: 15 students // New time,advanced hum,10,SP
H/Art 119,1,15,Maximum enrollment: 15 students,advanced hum,10,SP
H  121,1,15,Open by lottery only; see REGIS home page for info // Maximum  enrollment: 15 students,advanced hum,10,SP
Law/PS/H 148B,1,30,Maximum enrollment: 30 students//Law/PS/H 148A is a pre- requisite to 148B.,advanced hum,10,SP
HPS/H 156,1,,First class meeting will be held April 6th (the first week's class has  been cancelled).,advanced hum,10,SP
H  161,3,50,"Sec 1: The Crusades (max enroll: 25)/Sec 2: Between Science and  Humanitates: Classifications, Experimentation & Modern Art History  in the Europe of_Antiquaries (16th-18th centuries)- max enroll: ",advanced hum,10,SP
HPS/H 167,1,9,Maximum enrollment: 9 students // Note: students who took H 170  winter term cannot take HPS/H 167 spring term because of overlap.   //This class involves experiments.,advanced hum,10,SP
HPS/H 169,1,,,advanced hum,10,SP
H/HPS 185,1,15,Maximum enrollment: 15 students // see course syllabus link for  course description,advanced hum,10,SP
HPS/Pl 120,1,,,advanced hum,10,SP
HPS/Pl 128,1,,,advanced hum,10,SP
HPS/Pl 133,1,16,Maximum Enrollment: 16 Students,advanced hum,10,SP
Pl/HPS 183,1,25,Maximum enrollment: 25 students,advanced hum,10,SP
HPS/Pl 188,1,15,Open by lottery only; see REGIS home page for info // Maximum  enrollment: 15 students,advanced hum,10,SP
Hum/H 003B,1,15,Attendance at the first class is required. //Maximum enrollment: 15  students,frosh hum,10,SP
Hum/H 003C,2,30,Attendance at the first class is required.//Maximum enrollment: 12  students in section 1 and 18 students in section 2,frosh hum,10,SP
Hum/H 004A,1,15,Attendance at the first class is required.//Maximum enrollment: 15  students,frosh hum,10,SP
Hum/En 005,1,15,Attendance at the first class is required. //Maximum enrollment: 15  students,frosh hum,10,SP
Hum/En 006,2,30,Attendance at the first class is required.//Maximum enrollment: 15  students per section,frosh hum,10,SP
Hum/En 007,1,15,Attendance at first class is required.//Maximum enrollment: 15  students,frosh hum,10,SP
Mu 123,1,,,advanced hum,10,SP
Pl 102,1,12,Open to juniors and seniors// Maximum Enrollment: 12 students,advanced hum,10,SP
En 119,1,15,Open by lottery only - See REGIS Home page for details // Maximum  enrollment: 15 students,advanced hum,11,FA
En 132,1,15,Maximum enrollment: 15 students // Class open during online  registration,advanced hum,11,FA
En 141,1,,,advanced hum,11,FA
En 186,1,20,Maximum enrollment: 20 students,advanced hum,11,FA
En/H 193,1,,,advanced hum,11,FA
H  111,1,25,Maximum enrollment: 25 students // Class open during online  registration,advanced hum,11,FA
H/SS 124,1,15,Maximum enrollment: 15 students // Class open during online  registration,advanced hum,11,FA
HPS/H 186,1,,,advanced hum,11,FA
H  187,1,20,Maximum enrollment: 20 students // Class open during online  registration // Pending Approval,advanced hum,11,FA
HPS/Pl 120,1,20,Maximum enrollment: 20 students // Class open during online  registration,advanced hum,11,FA
HPS/Pl 129,1,20,Maximum enrollment: 20 students // Class open during online  registration,advanced hum,11,FA
Hum/H 003A,2,30,Maximum Enrollment: 15 students per section//Class closed to  continuing students until term start.,frosh hum,11,FA
Hum/H 003B,3,45,Maximum enrollment: 15 students//Class closed to continuing  students until term start//section 1 - Letter with the option to P/F,frosh hum,11,FA
Hum/En 005,2,30,Maximum enrollment: 15 students//Class closed to continuing  students until term start.,frosh hum,11,FA
Hum/En 006,2,30,Maximum Enrollment: 15 students per section// Class closed to  continuing students until term start.,frosh hum,11,FA
Hum/Pl 008,2,30,Maximum enrollment: 15 students per section//Class closed to  continuing students until term start.,frosh hum,11,FA
Hum/Pl 009,2,30,Maximum enrollment: 15 students per section//Class closed to  continuing students until term start.,frosh hum,11,FA
Hum/H/HPS 010,1,15,Maximum Enrollment: 15 students//Class closed to continuing  students until term start.,frosh hum,11,FA
Mu 137,1,,,advanced hum,11,FA
Pl 150,1,15,Maximum enrollment: 15 students,advanced hum,11,FA
En 129,1,20,Open by lottery only; See link on the REGIS home page to enter  lottery prior to Nov 16th // Maximum Enrollment: 20 students,advanced hum,11,WI
En 131,1,20,Open by lottery only; See link on the REGIS home page to enter  lottery prior to Nov 16th // Maximum Enrollment: 20 students  //Note: on 2/22 (Wed) class will meet in 237 Bax,advanced hum,11,WI
En 145,1,,,advanced hum,11,WI
En/H 197,1,15,Maximum Enrollment: 15 students // Class meets TR 10:30-noon in  Baxter 210 // Grades only,advanced hum,11,WI
H  130,1,15,Maximum Enrollment: 15 students // Evening screenings for this  class.  OM on 1st class meeting.//Class Closed,advanced hum,11,WI
Law/PS/H 148A,1,30,Maximum enrollment: 30 students,advanced hum,11,WI
HPS/H 159,1,15,Maximum Enrollment: 15 students,advanced hum,11,WI
HPS/H 160A,1,15,Open by lottery only; See link on REGIS home page to enter lottery  prior to Nov 16th // Maximum Enrollment: 15 students,advanced hum,11,WI
HPS/H 166,1,15,Maximum Enrollment: 15 students,advanced hum,11,WI
Art/H 183,1,15,Maximum enrollment: 15 students,advanced hum,11,WI
H/HPS 185,1,15,Maximum Enrollment: 15 students,advanced hum,11,WI
HPS/H 189,1,25,Maximum Enrollment: 25 students,advanced hum,11,WI
H  191,1,15,Maximum Enrollment: 15 students,advanced hum,11,WI
H  192,1,25,Class is open for enrollment up to a maximum enrollment of 25  students,advanced hum,11,WI
H  195,1,25,Maximum Enrollment: 25 students,advanced hum,11,WI
H  196,1,15,Open by lottery only; See link on REGIS home page to enter lottery  prior to Nov 16th // Maximum Enrollment: 15 students//Class will  meet in 19 Baxter on 1/24/12,advanced hum,11,WI
Pl/HPS 183,2,40,Maximum Enrollment: 20 students per section,advanced hum,11,WI
Hum/H 002,1,18,Attendance at the first class is required. // Maximum Enrollment: 18  students,frosh hum,11,WI
Hum/H 003A,1,15,Attendance at the first class is required. // Maximum Enrollment: 15  students,frosh hum,11,WI
Hum/H 003B,3,45,Attendance at the first class meeting is required. // Maximum  Enrollment: 15 students per section.,frosh hum,11,WI
Hum/H 003C,2,30,Attendance at the first class meeting is required. // Maximum  Enrollment: 15 students per section //Section 1 P/F only.,frosh hum,11,WI
Hum/En 005,2,30,Attendance at the first class meeting is required. // Maximum  enrollment: 15 students per section.,frosh hum,11,WI
Hum/En 006,2,30,Attendance at the first class meeting is required. // Maximum  enrollment: 15 students per section//Section 1 P/F only,frosh hum,11,WI
Hum/En 007,1,15,Attendance at the first class meeting is required.// Maximum  enrollment: 15 students,frosh hum,11,WI
Hum/Pl 008,3,45,Attendance at the first class meeting is required  // Maximum  enrollment: 15 students per section,frosh hum,11,WI
Hum/Pl 009,2,30,Attendance at first class meeting is required.//Maximum Enrollment: 15 students per section,frosh hum,11,WI
Hum/H/HPS 010,1,15,Attendance at the first class meeting is required. // Maximum  enrollment: 15 students,frosh hum,11,WI
Mu 138,1,20,Maximum Enrollment: 20 students,advanced hum,11,WI
Pl 102,1,,,advanced hum,11,WI
Pl 151,1,15,Maximum enrollment: 15 students,advanced hum,11,WI
En 122,1,15,Maximum enrollment: 15 students,advanced hum,11,SP
En 123,1,15,Maximum enrollment: 15 students,advanced hum,11,SP
En 128,1,20,Open by lottery only; See REGIS home page for info // Maximum  enrollment: 20 students,advanced hum,11,SP
En 134,1,20,"Maximum enrollment: 20 students // Class will meet in 115 Dabney  on Wednesday, May 9th.",advanced hum,11,SP
H  112,1,25,Open by lottery only; See REGIS home page for info // Maximum  enrollment: 25 students,advanced hum,11,SP
H/F 131,1,15,Maximum enrollment: 15 students // Film screenings Tuesday  evenings,advanced hum,11,SP
H  135,1,20,Maximum enrollment: 20 students,advanced hum,11,SP
