name,sections,max enrolment,bold info,req,year,term
Hum/En 006,02,[],"Attendance at the first class is required. // Maximum enrolled: 17 students per section //Section 1 has mandatory film screenings on Thursdays at 7pm during weeks 6, 8 and 9.",frosh hum,7,SP
Hum/Pl 008,01,[],Cancelled,frosh hum,7,SP
Pl 090B,01,,,advanced hum,7,SP
En 121,01,15,Maximum Enrollment: 15 students,advanced hum,8,FA
En 134,01,,,advanced hum,8,FA
En 148,01,,,advanced hum,8,FA
En 181D,01,15,Maximum Enrollment: 15 students,advanced hum,8,FA
H  115B,01,15,Maximum Enrollment: 15 students,advanced hum,8,FA
Art/H 155,01,18,Maximum Enrollment: 18 students,advanced hum,8,FA
HPS103,01,,,advanced hum,8,FA
HPS/Pl 120,01,,,advanced hum,8,FA
HPS/Pl 130,01,,,advanced hum,8,FA
Hum/H 002,02,30,Maximum Enrollment: 15 students per section//Class closed to continuing students until term start.,frosh hum,8,FA
Hum/H 003A,01,15,Maximum Enrollment: 15 students//Class closed to continuing students until term start.,frosh hum,8,FA
Hum/H 003B,03,15,Maximum enrollment: 15 students//Class closed to continuing students until term start.,frosh hum,8,FA
Hum/En 005,03,15,Maximum enrollment: 15 students//Class closed to continuing students until term start.,frosh hum,8,FA
Hum/En 007,01,15,Maximum Enrollment: 15 students//Class closed to continuing students until term start.,frosh hum,8,FA
Hum/Pl 008,02,[],Maximum Enrolled: 15 students per section//Class closed to continuin students until term start.,frosh hum,8,FA
Hum/Pl 009,01,15,Maximum enrollment: 15 students//Class closed to continuing students until term start.,frosh hum,8,FA
Hum/H/HPS 011,01,25,Maximum Enrollment: 25 students //Class closed to continuing students until term start.,frosh hum,8,FA
Pl 090A,02,,,advanced hum,8,FA
En 114A,01,15,Maximum Enrollment: 15 students,advanced hum,8,WI
En 126,01,25,Open by lottery only; See the Regis home page for info//Maximum enrollment: 25 students//Attendance at the first class meeting is required//English majors will be given priority,advanced hum,8,WI
En 150,01,20,Maximum enrollment: 20 students,advanced hum,8,WI
En 180,01,,,advanced hum,8,WI
H  108A,01,20,Maximum enrollment: 20 students,advanced hum,8,WI
H/F 134,01,20,Open by lottery only; See the Regis home page for info//Maximum enrollment: 20 students//Attendance at the first class meeting is required,advanced hum,8,WI
H/L 142,01,20,Maximum enrollment: 20 students,advanced hum,8,WI
H  143,01,15,Maximum enrollment: 15 students,advanced hum,8,WI
Law/PS/H 148A,01,30,Maximum enrollment: 30 students,advanced hum,8,WI
H  161,01,20,Maximum enrollment: 20 students,advanced hum,8,WI
HPS/H 170,01,15,Maximum enrollment: 15 students,advanced hum,8,WI
H/HPS 176,01,,,advanced hum,8,WI
HPS/H 178,01,30,Maximum enrollment: 30 students,advanced hum,8,WI
HPS103,01,,,advanced hum,8,WI
HPS/Pl 125,01,15,Maximum enrollment: 15 students,advanced hum,8,WI
HPS/Pl 130,01,,,advanced hum,8,WI
HPS/Pl 134,01,,,advanced hum,8,WI
Hum/H 003B,01,15,Attendance at the first class meeting is required. // Maximum Enrollment: 15 students,frosh hum,8,WI
Hum/H 003C,03,45,Attendance at the first class meeting is required. // Maximum Enrollment: 15 students per section,frosh hum,8,WI
Hum/H 004B,01,15,Attendance at the first class meeting is required.//Maximum enrollment: 15 students,frosh hum,8,WI
Hum/En 005,03,45,Attendance at the first class meeting is required. // Maximum enrollment: 15 students per section.,frosh hum,8,WI
Hum/En 006,02,30,Attendance at the first class meeting is required. // Maximum enrollment: 15 students per section,frosh hum,8,WI
Hum/En 007,01,15,Attendance at the first class meeting is required.// Maximum enrollment: 15 students,frosh hum,8,WI
Hum/Pl 008,03,45,Attendance at the first class meeting is required  // Maximum enrollment: 15 students per section,frosh hum,8,WI
Hum/H/HPS 010,02,30,Attendance at the first class meeting is required. // Maximum enrollment: 15 students per section,frosh hum,8,WI
Pl 090B,01,,,advanced hum,8,WI
En 119,01,15,Maximum enrollment: 15 students,advanced hum,8,SP
En 125A,01,20,Maximum enrollment: 20 students,advanced hum,8,SP
En 133,01,20,Maximum enrollment: 20 students,advanced hum,8,SP
En 171,01,25,Maximum enrollment: 25 students,advanced hum,8,SP
H  108B,01,25,Maximum enrollment: 25 students,advanced hum,8,SP
H  116,01,,,advanced hum,8,SP
H  121,01,,,advanced hum,8,SP
Law/PS/H 148B,01,30,Maximum enrollment: 30 students,advanced hum,8,SP
HPS/H 162,01,20,Maximum enrollment: 20 students,advanced hum,8,SP
HPS/H 166,01,20,Maximum enrollment: 20 students,advanced hum,8,SP
HPS/H 167,01,20,Maximum enrollment: 20 students,advanced hum,8,SP
HPS/H 169,01,20,The Darwin Bicentennial//Maximum enrollment: 20 students,advanced hum,8,SP
HPS/H 174,01,17,Maximum enrollment: 17 students,advanced hum,8,SP
H/HPS 177,01,15,Maximum enrollment: 15 students,advanced hum,8,SP
HPS103,01,,,advanced hum,8,SP
HPS/Pl 133,01,20,Maximum Enrollment: 20 students,advanced hum,8,SP
HPS/Pl 134,01,15,Maximum enrollment: 15 students,advanced hum,8,SP
HPS/Pl 136,01,[],Units = 3-0-6,advanced hum,8,SP
HPS/Pl 137,01,15,Maximum enrollment: 15 students,advanced hum,8,SP
Hum/H 003B,01,17,Attendance at the first class is required. //Maximum enrollment: 17 students,frosh hum,8,SP
Hum/H 003C,01,17,Attendance at the first class is required. // Maximum enrollment: 17 students,frosh hum,8,SP
Hum/H 004C,01,17,Attendance at the first class is required. //Maximum enrollment: 17 students,frosh hum,8,SP
Hum/En 007,01,17,Attendance at first class is required.//Maximum enrollment: 17 students,frosh hum,8,SP
Hum/Pl 009,01,17,Attendance at the first class is required.//Maximum enrollment: 17 students,frosh hum,8,SP
Hum119,01,[],Introduction to Linguistics,advanced hum,8,SP
Pl 090B,01,,,advanced hum,8,SP
Pl 103,01,,,advanced hum,8,SP
Pl 187,01,,,advanced hum,8,SP
En 113B,01,[],Open by lottery only//See REGIS home page for info,advanced hum,9,FA
En 122,01,15,Maximum enrollment: 15 students,advanced hum,9,FA
En 130,01,20,Maximum enrollment: 20 students,advanced hum,9,FA
En 138,01,20,Open by lottery only//See REGIS home page for info//Maximum enrollment: 20 students,advanced hum,9,FA
H/F 131,01,20,Maximum enrollment: 20 students,advanced hum,9,FA
H/L 142,01,15,Maximum enrollment: 15 students,advanced hum,9,FA
HPS/H 166,01,20,Maximum enrollment: 20 students,advanced hum,9,FA
HPS102A,01,,,advanced hum,9,FA
HPS103,01,,,advanced hum,9,FA
HPS/Pl 130,01,20,Maximum enrollment: 20 students,advanced hum,9,FA
Pl/HPS 157,01,20,Maximum enrollment: 20 students,advanced hum,9,FA
Hum/H 003A,01,15,Maximum Enrollment: 15 students//Class closed to continuing students until term start.,frosh hum,9,FA
Hum/H 003B,02,15,Maximum enrollment: 15 students//Class closed to continuing students until term start.,frosh hum,9,FA
Hum/H 003C,02,15,Maximum Enrollment: 15 students//Class closed to continuing students until term start.,frosh hum,9,FA
Hum/En 005,01,15,Maximum enrollment: 15 students//Class closed to continuing students until term start.,frosh hum,9,FA
Hum/En 006,01,15,Maximum Enrollment: 15 students // Class closed to continuing students until term start.,frosh hum,9,FA
Hum/En 007,03,45,Maximum Enrollment: 15 students per section//Class closed to continuing students until term start.,frosh hum,9,FA
Hum/Pl 008,01,[],Maximum Enrolled: 15 students//Class closed to continuing students until term start.,frosh hum,9,FA
Hum/Pl 009,02,30,Maximum enrollment: 15 students per section//Class closed to continuing students until term start.,frosh hum,9,FA
Hum/H/HPS 010,01,15,Maximum Enrollment: 15 students//Class closed to continuing students until term start.,frosh hum,9,FA
Hum/H/HPS 011,01,25,Maximum Enrollment: 25 students //Class closed to continuing students until term start.,frosh hum,9,FA
Mu 137,01,,,advanced hum,9,FA
Pl 090A,03,,,advanced hum,9,FA
En 114A,01,20,Maximum Enrollment: 20 students,advanced hum,9,WI
En 123,01,20,Maximum Enrollment: 20 students,advanced hum,9,WI
En 129,01,25,Maximum Enrollment: 25 students,advanced hum,9,WI
En 180,01,20,Maximum Enrollment: 20 students,advanced hum,9,WI
H  109,01,25,"Maximum Enrollment: 25 students // Open by lottery only, see REGIS Home page for details",advanced hum,9,WI
H  116,01,,,advanced hum,9,WI
H  122,01,,,advanced hum,9,WI
H  130,01,25,Maximum Enrollment: 25 students,advanced hum,9,WI
Law/PS/H 148A,01,30,Maximum enrollment: 30 students,advanced hum,9,WI
HPS/H 158,01,,,advanced hum,9,WI
HPS/H 171,01,15,Maximum Enrollment: 15 students,advanced hum,9,WI
HPS/H 179,01,15,Maximum Enrollment: 15 students,advanced hum,9,WI
HPS/H 181,01,20,Maximum Enrollment: 20 students,advanced hum,9,WI
HPS102B,01,,,advanced hum,9,WI
HPS103,01,,,advanced hum,9,WI
HPS105,01,15,Maximum Enrollment: 15 students,advanced hum,9,WI
HPS/Pl 120,01,,,advanced hum,9,WI
HPS/Pl 124,01,,,advanced hum,9,WI
Pl/HPS 183,01,20,"Maximum Enrollment: 20 students// Open by lottery only, see REGIS home page for details",advanced hum,9,WI
Hum/H 003A,01,15,Attendance at the first class is required. // Maximum Enrollment: 15 students.,frosh hum,9,WI
Hum/H 003B,01,15,Attendance at the first class meeting is required. // Maximum Enrollment: 15 students,frosh hum,9,WI
Hum/H 003C,03,45,Attendance at the first class meeting is required. // Maximum Enrollment: 15 students per section,frosh hum,9,WI
Hum/H 004A,01,15,Attendance at the first class is required. // Maximum Enrollment: 15 students,frosh hum,9,WI
Hum/En 005,02,30,Attendance at the first class meeting is required. // Maximum enrollment: 15 students per section.,frosh hum,9,WI
Hum/En 006,01,15,Attendance at the first class meeting is required. // Maximum enrollment: 15 students,frosh hum,9,WI
Hum/En 007,02,30,Attendance at the first class meeting is required.// Maximum enrollment: 15 students per section,frosh hum,9,WI
Hum/Pl 008,06,90,Attendance at the first class meeting is required  // Maximum enrollment: 15 students per section,frosh hum,9,WI
Hum/Pl 009,01,15,Attendance at first class meeting is required.//Maximum Enrollment: 15 students,frosh hum,9,WI
Hum/H/HPS 010,01,15,Attendance at the first class meeting is required. // Maximum enrollment: 15 students,frosh hum,9,WI
Mu 138,01,,,advanced hum,9,WI
Pl 090B,01,,,advanced hum,9,WI
Pl 150,01,20,Maximum Enrollment: 20 students,advanced hum,9,WI
En 116,01,20,Maximum Enrollment: 20 students,advanced hum,9,SP
En 120,01,15,Open by lottery only: See the REGIS home page for info//Maximum  Enrollment: 15 students,advanced hum,9,SP
En 128,01,20,maximum enrollment: 20 students,advanced hum,9,SP
En 181E,01,,,advanced hum,9,SP
H  110,01,25,Maximum enrollment: 25 students/open for student enrollment,advanced hum,9,SP
H  112,01,25,"Open by lottery only, preference given to History majors//See REGIS  home page for info//Maximum enrollment: 25 students",advanced hum,9,SP
H  119,01,,,advanced hum,9,SP
H  135,01,,,advanced hum,9,SP
Law/PS/H 148B,01,30,Maximum enrollment: 30 students,advanced hum,9,SP
HPS/H 159,01,,,advanced hum,9,SP
HPS/H 168,01,,,advanced hum,9,SP
HPS/H 169,01,[],Topic: The History of Evolution: Darwin & His Generation,advanced hum,9,SP
HPS/H 180,01,,,advanced hum,9,SP
HPS/H 182,01,,,advanced hum,9,SP
HPS103,01,,,advanced hum,9,SP
HPS/Pl 133,01,20,Maximum Enrollment: 20 Students,advanced hum,9,SP
HPS/Pl 136,01,[],4 units (2-0-2) or 9 units (2-0-7),advanced hum,9,SP
Hum/H 003A,01,15,Attendance at the first class is required.//Maximum enrollment: 15  students,frosh hum,9,SP
Hum/H 003B,01,15,Attendance at the first class is required. //Maximum enrollment: 15  students,frosh hum,9,SP
Hum/H 004B,01,15,Attendance at the first class is required.//Maximum enrollment: 15  students,frosh hum,9,SP
Hum/En 006,02,30,Attendance at the first class is required.//Maximum enrollment: 15  students per section,frosh hum,9,SP
Hum/En 007,01,15,Attendance at first class is required.//Maximum enrollment: 15  students,frosh hum,9,SP
Hum/Pl 009,01,15,Attendance at the first class is required.//Maximum enrollment: 15  students,frosh hum,9,SP
Mu 139,01,,,advanced hum,9,SP
Pl 090B,01,,,advanced hum,9,SP
Pl 151,01,,,advanced hum,9,SP
Pl 187,01,,,advanced hum,9,SP
En 121,01,15,Maximum enrollment: 15 students,advanced hum,10,FA
En 183,01,20,Open by lottery only//See REGIS home page to enter//Maximum  Enrollment: 20 students,advanced hum,10,FA
H  108A,01,25,Maximum Enrollment: 25 students,advanced hum,10,FA
H  122,01,,,advanced hum,10,FA
HPS/H 166,01,,,advanced hum,10,FA
HPS102A,01,,,advanced hum,10,FA
HPS103,01,,,advanced hum,10,FA
Hum/H 002,02,30,Maximum Enrollment: 15 students per section//Class closed to  continuing students until term start.,frosh hum,10,FA
Hum/H 003A,02,30,Maximum Enrollment: 15 students per section//Class closed to  continuing students until term start.//Sec 2 P/F only.,frosh hum,10,FA
Hum/H 003B,02,15,Maximum enrollment: 15 students//Class closed to continuing  students until term start.//Sec 2 P/F only,frosh hum,10,FA
Hum/En 005,01,15,Maximum enrollment: 15 students//Class closed to continuing  students until term start.,frosh hum,10,FA
Hum/En 006,02,30,Maximum Enrollment: 15 students per section// Class closed to  continuing students until term start.,frosh hum,10,FA
Hum/Pl 009,03,45,Maximum enrollment: 15 students per section//Class closed to  continuing students until term start.//Sec 3 P/F only.,frosh hum,10,FA
Hum/H/HPS 010,01,15,Maximum Enrollment: 15 students//Class closed to continuing  students until term start.,frosh hum,10,FA
Pl 090A,01,,,advanced hum,10,FA
Pl 150,01,,,advanced hum,10,FA
En 113A,01,20,Open by lottery only; See REGIS home page to enter lottery prior to Nov 17th // Maximum enrollment: 20 students,advanced hum,10,WI
En 125,01,20,Open by lottery only; See link on the REGIS home page to enter lottery prior to Nov 17th // Maximum enrollment: 20 students,advanced hum,10,WI
En/F 160A,01,20,Open by lottery only; See link on the REGIS home page to enter lottery prior to Nov 17th // Maximum enrollment: 20 students// Not open to students who previously took F 101 // There is a mandatory film screening after each class.,advanced hum,10,WI
En 182,01,20,Maximum enrollment: 20 students,advanced hum,10,WI
H  108B,01,25,Maximum enrollment: 25 students,advanced hum,10,WI
H  118,01,,,advanced hum,10,WI
H/F 131,01,20,Open by lottery only; See link on the REGIS home page to enter the lottery prior to Nov 17th // Maximum enrollment: 20 students,advanced hum,10,WI
H/L 142,01,15,Maximum enrollment: 15 students,advanced hum,10,WI
Law/PS/H 148A,01,30,Maximum enrollment: 30 students,advanced hum,10,WI
H  161,01,[],First class meeting will be held January 10th,advanced hum,10,WI
HPS/H 170,01,,,advanced hum,10,WI
Art/H 183,01,15,Maximum enrollment: 15 students,advanced hum,10,WI
H/HPS 184,01,25,This course will focus on the plague in the Mediterranean. // Open by lottery only; See link on the REGIS home page to enter lottery prior to Nov 17//Maximum enrollment: 25 students,advanced hum,10,WI
HPS/H 186,01,,,advanced hum,10,WI
HPS102B,01,,,advanced hum,10,WI
HPS103,01,,,advanced hum,10,WI
Hum/H 003A,02,30,Attendance at the first class is required. // Maximum Enrollment: 15 students per section.,frosh hum,10,WI
Hum/H 003B,03,45,Attendance at the first class meeting is required. // Maximum Enrollment: 15 students per section.Section 2 cancelled.,frosh hum,10,WI
Hum/H 003C,01,15,Attendance at the first class meeting is required. // Maximum Enrollment: 15 students.,frosh hum,10,WI
Hum/H 004C,01,15,Attendance at the first class if required. // Maximum enrollment: 15 students,frosh hum,10,WI
Hum/En 005,02,30,Attendance at the first class meeting is required. // Maximum enrollment: 15 students per section.,frosh hum,10,WI
Hum/En 006,01,15,Attendance at the first class meeting is required. // Maximum enrollment: 15 students,frosh hum,10,WI
Hum/En 007,01,15,Attendance at the first class meeting is required.// Maximum enrollment: 15 students,frosh hum,10,WI
Hum/Pl 008,04,60,Attendance at the first class meeting is required  // Maximum enrollment: 15 students per section,frosh hum,10,WI
Hum/Pl 009,02,30,Attendance at first class meeting is required.//Maximum Enrollment: 15 students per section,frosh hum,10,WI
Hum/H/HPS 010,01,15,Attendance at the first class meeting is required. // Maximum enrollment: 15 students,frosh hum,10,WI
Hum119,01,15,Hum119 this term only is considered a Freshman Hum within the History discipline.  Students will not receive Adv Hum credit for this course.//Attendance at the first class is required. // Maximum enrollment: 15 students,advanced hum,10,WI
Mu 140,01,20,Maximum enrollment: 20 students,advanced hum,10,WI
Pl 090B,01,,,advanced hum,10,WI
Pl 151,01,20,Maximum enrollment: 20 students,advanced hum,10,WI
En 123,01,20,Maximum enrollment: 20 students,advanced hum,10,SP
En 126,01,20,Open by lottery only; see REGIS home page for info // Maximum  enrollment: 20 students,advanced hum,10,SP
En 132,01,20,Maximum enrollment: 20 students,advanced hum,10,SP
En/F 160B,01,20,Maximum enrollment: 20 students // En/F 160a is not a prerequisite  to this course.,advanced hum,10,SP
En 180,01,10,"taught concurrently with H 161, section 3//Maximum enrollment: 10  students",advanced hum,10,SP
En 184,01,15,Maximum enrollment: 15 students,advanced hum,10,SP
H  110,01,15,Maximum enrollment: 15 students // New time,advanced hum,10,SP
H/Art 119,01,15,Maximum enrollment: 15 students,advanced hum,10,SP
H  121,01,15,Open by lottery only; see REGIS home page for info // Maximum  enrollment: 15 students,advanced hum,10,SP
Law/PS/H 148B,01,30,Maximum enrollment: 30 students//Law/PS/H 148A is a pre- requisite to 148B.,advanced hum,10,SP
HPS/H 156,01,[],First class meeting will be held April 6th (the first week's class has  been cancelled).,advanced hum,10,SP
H  161,03,[],"Sec 1: The Crusades (max enroll: 25)/Sec 2: Between Science and  Humanitates: Classifications, Experimentation & Modern Art History  in the Europe of_Antiquaries (16th-18th centuries)- max enroll: ",advanced hum,10,SP
HPS/H 167,01,9,Maximum enrollment: 9 students // Note: students who took H 170  winter term cannot take HPS/H 167 spring term because of overlap.   //This class involves experiments.,advanced hum,10,SP
HPS/H 169,01,,,advanced hum,10,SP
H/HPS 185,01,15,Maximum enrollment: 15 students // see course syllabus link for  course description,advanced hum,10,SP
HPS103,01,,,advanced hum,10,SP
HPS/Pl 120,01,,,advanced hum,10,SP
HPS/Pl 128,01,,,advanced hum,10,SP
HPS/Pl 133,01,16,Maximum Enrollment: 16 Students,advanced hum,10,SP
Pl/HPS 183,01,25,Maximum enrollment: 25 students,advanced hum,10,SP
HPS/Pl 188,01,15,Open by lottery only; see REGIS home page for info // Maximum  enrollment: 15 students,advanced hum,10,SP
Hum/H 003B,01,15,Attendance at the first class is required. //Maximum enrollment: 15  students,frosh hum,10,SP
Hum/H 003C,02,12,Attendance at the first class is required.//Maximum enrollment: 12  students in section 1 and 18 students in section 2,frosh hum,10,SP
Hum/H 004A,01,15,Attendance at the first class is required.//Maximum enrollment: 15  students,frosh hum,10,SP
Hum/En 005,01,15,Attendance at the first class is required. //Maximum enrollment: 15  students,frosh hum,10,SP
Hum/En 006,02,30,Attendance at the first class is required.//Maximum enrollment: 15  students per section,frosh hum,10,SP
Hum/En 007,01,15,Attendance at first class is required.//Maximum enrollment: 15  students,frosh hum,10,SP
Mu 123,01,,,advanced hum,10,SP
Pl 090B,01,,,advanced hum,10,SP
Pl 102,01,12,Open to juniors and seniors// Maximum Enrollment: 12 students,advanced hum,10,SP
En 119,01,15,Open by lottery only - See REGIS Home page for details // Maximum  enrollment: 15 students,advanced hum,11,FA
En 132,01,15,Maximum enrollment: 15 students // Class open during online  registration,advanced hum,11,FA
En 141,01,,,advanced hum,11,FA
En 186,01,20,Maximum enrollment: 20 students,advanced hum,11,FA
En/H 193,01,,,advanced hum,11,FA
H  111,01,25,Maximum enrollment: 25 students // Class open during online  registration,advanced hum,11,FA
H/SS 124,01,15,Maximum enrollment: 15 students // Class open during online  registration,advanced hum,11,FA
HPS/H 186,01,,,advanced hum,11,FA
H  187,01,20,Maximum enrollment: 20 students // Class open during online  registration // Pending Approval,advanced hum,11,FA
HPS103,01,,,advanced hum,11,FA
HPS/Pl 120,01,20,Maximum enrollment: 20 students // Class open during online  registration,advanced hum,11,FA
HPS/Pl 129,01,20,Maximum enrollment: 20 students // Class open during online  registration,advanced hum,11,FA
Hum/H 003A,02,30,Maximum Enrollment: 15 students per section//Class closed to  continuing students until term start.,frosh hum,11,FA
Hum/H 003B,03,15,Maximum enrollment: 15 students//Class closed to continuing  students until term start//section 1 - Letter with the option to P/F,frosh hum,11,FA
Hum/En 005,02,15,Maximum enrollment: 15 students//Class closed to continuing  students until term start.,frosh hum,11,FA
Hum/En 006,02,30,Maximum Enrollment: 15 students per section// Class closed to  continuing students until term start.,frosh hum,11,FA
Hum/Pl 008,02,30,Maximum enrollment: 15 students per section//Class closed to  continuing students until term start.,frosh hum,11,FA
Hum/Pl 009,02,30,Maximum enrollment: 15 students per section//Class closed to  continuing students until term start.,frosh hum,11,FA
Hum/H/HPS 010,01,15,Maximum Enrollment: 15 students//Class closed to continuing  students until term start.,frosh hum,11,FA
Mu 137,01,,,advanced hum,11,FA
Pl 090A,01,,,advanced hum,11,FA
Pl 150,01,15,Maximum enrollment: 15 students,advanced hum,11,FA
En 129,01,20,Open by lottery only; See link on the REGIS home page to enter  lottery prior to Nov 16th // Maximum Enrollment: 20 students,advanced hum,11,WI
En 131,01,20,Open by lottery only; See link on the REGIS home page to enter  lottery prior to Nov 16th // Maximum Enrollment: 20 students  //Note: on 2/22 (Wed) class will meet in 237 Bax,advanced hum,11,WI
En 145,01,,,advanced hum,11,WI
En/H 197,01,15,Maximum Enrollment: 15 students // Class meets TR 10:30-noon in  Baxter 210 // Grades only,advanced hum,11,WI
H  130,01,15,Maximum Enrollment: 15 students // Evening screenings for this  class.  OM on 1st class meeting.//Class Closed,advanced hum,11,WI
Law/PS/H 148A,01,30,Maximum enrollment: 30 students,advanced hum,11,WI
HPS/H 159,01,15,Maximum Enrollment: 15 students,advanced hum,11,WI
HPS/H 160A,01,15,Open by lottery only; See link on REGIS home page to enter lottery  prior to Nov 16th // Maximum Enrollment: 15 students,advanced hum,11,WI
HPS/H 166,01,15,Maximum Enrollment: 15 students,advanced hum,11,WI
Art/H 183,01,15,Maximum enrollment: 15 students,advanced hum,11,WI
H/HPS 185,01,15,Maximum Enrollment: 15 students,advanced hum,11,WI
HPS/H 189,01,25,Maximum Enrollment: 25 students,advanced hum,11,WI
H  191,01,15,Maximum Enrollment: 15 students,advanced hum,11,WI
H  192,01,[],Class is open for enrollment up to a maximum enrollment of 25  students,advanced hum,11,WI
H  195,01,25,Maximum Enrollment: 25 students,advanced hum,11,WI
H  196,01,15,Open by lottery only; See link on REGIS home page to enter lottery  prior to Nov 16th // Maximum Enrollment: 15 students//Class will  meet in 19 Baxter on 1/24/12,advanced hum,11,WI
HPS102B,02,,,advanced hum,11,WI
HPS103,01,,,advanced hum,11,WI
Pl/HPS 183,02,40,Maximum Enrollment: 20 students per section,advanced hum,11,WI
Hum/H 002,01,18,Attendance at the first class is required. // Maximum Enrollment: 18  students,frosh hum,11,WI
Hum/H 003A,01,15,Attendance at the first class is required. // Maximum Enrollment: 15  students,frosh hum,11,WI
Hum/H 003B,03,45,Attendance at the first class meeting is required. // Maximum  Enrollment: 15 students per section.,frosh hum,11,WI
Hum/H 003C,02,30,Attendance at the first class meeting is required. // Maximum  Enrollment: 15 students per section //Section 1 P/F only.,frosh hum,11,WI
